ID,Year,Title,Journal,Author,Country_of_Affiliation
18,2016, Biomass resilience of Neotropical secondary forests, Nature,E. N. Broadbent,US
19,2014, Recent trends and future strategies in soil ecological research—Integrative approaches at Pedobiologia, Pedobiologia,J. Powell,Australia
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,S. G. Laurance,Australia
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,E. Schuller,Austria
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,M. Mirtl,Austria
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,P. Hietz,Austria
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,T. Dirnbock,Austria
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,G. Verstraeten,Belgium
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,H. V. Calster,Belgium
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,K. Verheyen,Belgium
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,L. Baeten,Belgium
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,M. Hermy,Belgium
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,P. De Frenne,Belgium
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. C. Licona,Bolivia
18,2016, Biomass resilience of Neotropical secondary forests, Nature,M. Toledo,Bolivia
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,T. J. Killeen,Bolivia
18,2016, Biomass resilience of Neotropical secondary forests, Nature,A. A. de Oliveira,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,A. Andrade,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,A. Vicentini,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,D. Piotto,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,G. A. Cabral,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,G. B. Williamson,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,G. B. Williamson,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,I. C. Vieira,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. S. de Almeida-Cortez,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,M. D. Veloso,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,M. M. Espirito-Santo,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,P. E. S. Massoca,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,P. H. Brancalion,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,P. H. Brancalion,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,P. Massoca,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,R. A. G. Viani,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,R. C. G. Mesquita,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,R. G. Cesar,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,R. G. Cesar,Brazil
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,R. Hedl,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,R. C. G. Mesquita,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,R. R. Rodrigues,Brazil
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,T. V. Bentos,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,T. V. Bentos,Brazil
18,2016, Biomass resilience of Neotropical secondary forests, Nature,Y. R. Nunes,Brazil
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,A. Park,Canada
18,2016, Biomass resilience of Neotropical secondary forests, Nature,A. Sanchez-Azofeifa,Canada
6,2016, Evaluating resilience of tree communities in fragmented landscapes: linking functional response diversity with landscape connectivity, Diversity and Distributions,C. Messier,Canada
12,2016, Root quality and decomposition environment; but not tree species richness; drive root decomposition in tropical forests, Plant and Soil,C. Messier,Canada
12,2016, Root quality and decomposition environment; but not tree species richness; drive root decomposition in tropical forests, Plant and Soil,C. Potvin,Canada
